name_x,address,category,latitude_x,longitude_x,rating,rounded_latitude,rounded_longitude,name_y,latitude_y,longitude_y,free_bikes
Brasseur de Montréal,"1485 Rue Ottawa, Montreal, QC H3C 1S9, Canada","Gastropubs, Breweries",45.489948107069,-73.564016142903,3.5,45.49,-73.564,Ottawa / William,45.48972725318433,-73.56406286358833,4
Industria Pizzeria + Bar,"100 Rue Peel, Montreal, QC H3C 0L8, Canada","Bars, Italian, Pizza",45.4929942,-73.5564327,3.5,45.493,-73.556,Smith / Peel,45.49276061084002,-73.55641052126883,12
Pikolo Espresso Bar,"1635 Rue Clark, Montreal, QC H2X 2R4, Canada","Coffee & Tea, Breakfast & Brunch",45.510731,-73.56674989999999,4.5,45.511,-73.567,Clark / Ontario,45.51059890498207,-73.56692545115948,16
Les Enfants Terribles,"1 Place Ville Marie, Montreal, QC H3B 4S6, Canada","Canadian (New), French, Breakfast & Brunch",45.501658,-73.568164,3.5,45.502,-73.568,Robert-Bourassa / René-Lévesque,45.502182909901194,-73.56825381517409,11
Dairy Queen Store,"4545 Sainte-Catherine Rue E, Montreal, QC H1V 1Y6, Canada","Fast Food, Ice Cream & Frozen Yogurt, Burgers",45.553032,-73.532816,3.5,45.553,-73.533,Bennett / Ste-Catherine,45.55315915057821,-73.53263273835182,6
Détour Bistro,"2480 Rue Beaubien Est, Montreal, QC H2G 1N4, Canada","French, Modern European",45.54854,-73.59155,4.5,45.549,-73.592,Parc Molson (d'Iberville / Beaubien),45.54902230455398,-73.59198164194822,5
Pat'e Palo,"2534 Beaubien Street East, Montreal, QC H1Y 1G2, Canada","Peruvian, International",45.540899,-73.598482,4.0,45.541,-73.598,Garnier / Beaubien,45.54144823434163,-73.59839379787445,9
Café Chiado 28,"1404 Rue Beaubien E, Montreal, QC H2G 1K9, Canada",Cafes,45.5410899,-73.59808,4.5,45.541,-73.598,Garnier / Beaubien,45.54144823434163,-73.59839379787445,9
Bo'Dégât,"1392 Rue Beaubien E, Montreal, QC H2G 1K9, Canada","Spanish, Tapas Bars",45.54097,-73.59836,4.5,45.541,-73.598,Garnier / Beaubien,45.54144823434163,-73.59839379787445,9
Café Lali,"1850 Rue Notre Dame O, Montreal, QC H3J 1M5, Canada",Cafes,45.487754,-73.5686699561112,4.5,45.488,-73.569,Notre-Dame  / St-Martin,45.48830194643546,-73.56871783733366,13
La Chronique,"104 Avenue Laurier O, Montreal, QC H2T 2N7, Canada",Canadian (New),45.52154,-73.59374,4.5,45.522,-73.594,St-Urbain / Laurier,45.52164617544124,-73.59366774559021,0
Bistro CÔ ÚT,"3807 Rue Saint-Andre, Montreal, QC H2L 3V9, Canada",Vietnamese,45.52189,-73.57017,4.5,45.522,-73.57,Roy / St-André,45.521564270906616,-73.57036739587784,3
Bis,"1229 Rue de la Montagne, Montreal, QC H3G 1Z2, Canada",Italian,45.49779,-73.57424,4.0,45.498,-73.574,Ste-Catherine / Drummond,45.498488900657,-73.57436656951904,10
L'Oeufrier,"1231 Rue de la Montagne, Montreal, QC H3G 1Z2, Canada",Breakfast & Brunch,45.49788,-73.574305549264,4.0,45.498,-73.574,Ste-Catherine / Drummond,45.498488900657,-73.57436656951904,10
Henri - Brasserie Francaise,"1240 Phillips Square, Montreal, QC H3B 3H4, Canada","Brasseries, Lounges, Breakfast & Brunch",45.5035399789628,-73.5690115332576,4.0,45.504,-73.569,Ste-Catherine / Union,45.50373771539475,-73.56948494911194,13
Frite Alors,"3497 Boulevard Saint-Laurent, Montreal, QC H2X 2T6, Canada","American, Belgian",45.51334,-73.57082,3.5,45.513,-73.571,Milton / St-Laurent,45.512903912221326,-73.57059180741999,5
Bootlegger l'Authentique,"3481 Boulevard Saint-Laurent, 2 étage, Montreal, QC H2X 2T6, Canada","Cocktail Bars, Jazz & Blues, Whiskey Bars",45.51323,-73.57058,4.5,45.513,-73.571,Milton / St-Laurent,45.512903912221326,-73.57059180741999,5
Shaker Cuisine and Mixologie,"3518 Boulevard St-Laurent, Montreal, QC H2X 2T6, Canada","Cocktail Bars, Burgers",45.51314,-73.57123,3.5,45.513,-73.571,Milton / St-Laurent,45.512903912221326,-73.57059180741999,5
Sumi Dojo,"3479 Boulevard Saint-Laurent, Montreal, QC H2X 2T6, Canada",Japanese,45.5132217,-73.5707169,3.5,45.513,-73.571,Milton / St-Laurent,45.512903912221326,-73.57059180741999,5
McKibbin's Irish Pub,"3515 Boulevard Saint-Laurent, Montreal, QC H2X 2T6, Canada",Irish Pub,45.51349,-73.57114,3.5,45.513,-73.571,Milton / St-Laurent,45.512903912221326,-73.57059180741999,5
Singh's,"3712 Boulevard Saint-Laurent, Montreal, QC H2X 2V4, Canada",Indian,45.51456,-73.57461,4.0,45.515,-73.575,des Pins / St-Laurent,45.51522812881499,-73.5750961303711,15
